index,OPA #,Link to Post,Status
1,N/A,https://www.facebook.com/dlsu.englicom/posts/1746428472217633,NO OPA INDICATED
2,N/A,https://www.facebook.com/dlsu.englicom/posts/1755020048025142,NO OPA INDICATED
3,N/A,https://www.facebook.com/dlsu.englicom/posts/1755010174692796,NO OPA INDICATED
4,N/A,https://www.facebook.com/dlsu.englicom/posts/1755003004693513:0,NO OPA INDICATED
5,N/A,https://www.facebook.com/dlsu.englicom/posts/1746427212217759,NO OPA INDICATED
6,N/A,https://www.facebook.com/dlsu.englicom/posts/1748916588635488,NO OPA INDICATED
7,N/A,https://www.facebook.com/dlsu.englicom/posts/1746461595547654,NO OPA INDICATED
8,N/A,https://www.facebook.com/dlsu.englicom/posts/1746455388881608,NO OPA INDICATED
9,N/A,https://www.facebook.com/dlsu.englicom/posts/1746426275551186,NO OPA INDICATED
10,N/A,https://www.facebook.com/dlsu.englicom/posts/1746347268892420,NO OPA INDICATED
11,N/A,https://www.facebook.com/dlsu.englicom/posts/1743469689180178,NO OPA INDICATED